prompt,lang,expected_way,way_id,model,score
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery,en,0.0893
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/trust/delegation,en,0.0884
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea,en,0.0847
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-markdown-mixed-media/testing,en,0.0830
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell/prompt,en,0.0808
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs/mermaid,en,0.0807
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,itops/proposals,en,0.0805
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,itops/runbooks,en,0.0804
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/security/secrets,en,0.0798
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-praecipio-graph-introspection/atlassian/graph-introspection,en,0.0786
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-knowledge-graph-system/kg/adr,en,0.0785
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/depscan/python,en,0.0774
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/intelligence,en,0.0772
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/memory,en,0.0753
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/trust,en,0.0733
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-mcp-atlassian-graph/collaboration/incremental-exploration,en,0.0683
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-praecipio-platform-ops/ops/cost-analysis,en,0.0679
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-github-manager/ops/cost-analysis,en,0.0679
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,research,en,0.0661
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/visualization/diagrams,en,0.0658
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-praecipio-ets-global/audit/prove-then-generalize,en,0.0632
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/tracking,en,0.0625
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell/gitconfig,en,0.0613
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-markdown-mixed-media/pdf-pipeline,en,0.0595
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge/optimization,en,0.0584
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/patches,en,0.0582
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/architecture/adr,en,0.0561
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/visualization/charts,en,0.0560
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/skills,en,0.0543
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-knowledge-graph-system/kg/database,en,0.0539
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-github-manager/ops/org-inventory,en,0.0531
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-praecipio-platform-ops/ops/org-inventory,en,0.0531
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-mcp-google-workspace-mcp/api-design/full-coverage,en,0.0522
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/tasks,en,0.0519
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-github-manager/ops/lifecycle,en,0.0517
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-praecipio-platform-ops/ops/lifecycle,en,0.0517
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-github-manager/dev/guidance,en,0.0509
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-praecipio-platform-ops/dev/guidance,en,0.0509
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-knowledge-graph-system/kg/schema,en,0.0498
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-knowledge-graph-system/kg/cli,en,0.0472
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/branching,en,0.0470
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/environment/attend,en,0.0449
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/email/drafting,en,0.0448
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/security/injection,en,0.0426
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-praecipio-ets-global/atlassian/graph-discovery,en,0.0421
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-knowledge-graph-system/kg/devmode,en,0.0403
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-praecipio-platform-ops/dev/new-verb,en,0.0355
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-github-manager/dev/new-verb,en,0.0355
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-mcp-salesforce-cloud/release,en,0.0315
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs/standards,en,0.0281
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-markdown-mixed-media/build,en,0.0267
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge/authoring/pii-free,en,0.0261
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-app-obsidian-mcp-plugin/delivery/release,en,0.0256
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/subagents,en,0.0238
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell,en,0.0232
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell/shellrc,en,0.0210
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge/authoring/tool-agnostic,en,0.0204
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/testing,en,0.0156
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/think,en,0.0155
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs/api,en,0.0137
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/environment/makefile,en,0.0135
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/security/auth,en,0.0133
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,writing,en,0.0123
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/calendar,en,0.0111
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,-home-aaron-Projects-ai-knowledge-graph-system/kg/web,en,0.0044
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge,en,0.0023
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/environment/debugging,multi,0.6241
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/sourceaudit,multi,0.4695
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/migrations,multi,0.4685
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/errors,multi,0.4424
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/performance,multi,0.4305
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/depscan,multi,0.4164
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/historysever,multi,0.4119
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/repoaudit,multi,0.4087
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/visualization/charts,multi,0.3968
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/tracking,multi,0.3931
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/branching,multi,0.3901
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/testing,multi,0.3877
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/security/injection,multi,0.3851
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs/api,multi,0.3816
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge/optimization/tuning,multi,0.3777
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs/docstrings,multi,0.3704
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/quality,multi,0.3668
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/testing/mocking,multi,0.3615
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/project-health,multi,0.3613
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/depscan/node/lockfile,multi,0.3599
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/release,multi,0.3586
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/depscan/rust,multi,0.3561
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/environment/config,multi,0.3555
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/comms/recap,multi,0.3548
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,itops/runbooks,multi,0.3512
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/security,multi,0.3512
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/environment/makefile,multi,0.3506
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/email,multi,0.3497
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/skills,multi,0.3388
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/depscan/node,multi,0.3383
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/architecture/adr/migration,multi,0.3354
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/automation,multi,0.3245
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/github,multi,0.3234
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge,multi,0.3228
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/patches,multi,0.3209
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/depscan/go,multi,0.3207
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge/optimization,multi,0.3185
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell/shellrc,multi,0.3180
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain,multi,0.3153
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell/prompt,multi,0.3036
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs/mermaid,multi,0.3000
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/testing/tdd,multi,0.2974
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/architecture/design,multi,0.2930
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/security/secrets,multi,0.2923
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/implement,multi,0.2858
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/visualization/diagrams,multi,0.2806
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/memory,multi,0.2799
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,itops/incident,multi,0.2756
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs/readme,multi,0.2661
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery,multi,0.2654
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/architecture/adr,multi,0.2643
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code,multi,0.2631
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell/tools,multi,0.2618
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/environment/deps,multi,0.2600
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/delivery/commits,multi,0.2597
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/architecture/threat-modeling,multi,0.2591
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,research,multi,0.2570
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/environment,multi,0.2427
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/tasks/time,multi,0.2362
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs,multi,0.2356
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge/authoring/pii-free,multi,0.2343
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/supplychain/depscan/python,multi,0.2332
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell/gitconfig,multi,0.2310
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/knowledge/authoring/tool-agnostic,multi,0.2286
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/architecture,multi,0.2253
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/visualization,multi,0.2223
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/environment/ssh,multi,0.2163
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell,multi,0.2141
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,itops/policy,multi,0.2096
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/think,multi,0.1971
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/tasks,multi,0.1920
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/intelligence,multi,0.1896
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/subagents,multi,0.1864
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/code/security/auth,multi,0.1827
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/calendar,multi,0.1790
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/email/drafting,multi,0.1773
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/comms,multi,0.1739
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,workstation/shell/sshagent,multi,0.1574
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/docs/standards,multi,0.1564
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/trust/delegation,multi,0.1277
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea/briefing,multi,0.1268
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/introspection,multi,0.1046
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,softwaredev/architecture/adr-context,multi,0.0982
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,writing,multi,0.0965
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,ea,multi,0.0907
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,itops/proposals,multi,0.0664
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/trust/voice,multi,0.0630
"help me debug this stack trace and narrow down the bug",en,softwaredev/environment/debugging,meta/trust,multi,0.0046
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,workstation/shell/shellrc,en,0.4535
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,workstation/shell,en,0.4091
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,workstation/shell/prompt,en,0.3901
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,workstation/shell/tools,en,0.2393
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/environment/config,en,0.1931
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-knowledge-graph-system/kg/cli,en,0.1875
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,workstation/shell/gitconfig,en,0.1831
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-knowledge-graph-system/kg/web,en,0.1808
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/security/injection,en,0.1803
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/knowledge/optimization/tuning,en,0.1737
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/skills,en,0.1714
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/environment,en,0.1596
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-markdown-mixed-media/build,en,0.1465
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/knowledge/authoring/tool-agnostic,en,0.1402
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/dev/guidance,en,0.1396
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/dev/guidance,en,0.1396
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,workstation/shell/sshagent,en,0.1356
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/ops/user-identity,en,0.1336
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/ops/user-identity,en,0.1336
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/docs,en,0.1261
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/ops/enterprise-cli,en,0.1234
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/ops/enterprise-cli,en,0.1234
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/visualization/diagrams,en,0.1195
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-knowledge-graph-system/kg/database,en,0.1091
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-knowledge-graph-system/kg/operator,en,0.1082
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/trust/voice,en,0.1078
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/introspection,en,0.1051
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/testing,en,0.0998
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/ops/repo-health,en,0.0995
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/ops/repo-health,en,0.0995
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/dev/new-verb,en,0.0982
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/dev/new-verb,en,0.0982
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/delivery/branching,en,0.0981
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/knowledge/authoring/pii-free,en,0.0979
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-knowledge-graph-system/kg/make,en,0.0960
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-mcp-google-workspace-mcp/api-design/late-binding,en,0.0930
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/architecture/threat-modeling,en,0.0914
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/environment/ssh,en,0.0876
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/docs/standards,en,0.0846
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/supplychain/depscan/go,en,0.0827
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/supplychain/automation,en,0.0824
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/delivery/github,en,0.0814
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-knowledge-graph-system/kg/schema,en,0.0808
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/delivery/commits,en,0.0801
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,writing,en,0.0765
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/visualization/charts,en,0.0764
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/testing/mocking,en,0.0763
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/ops/safety,en,0.0727
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/ops/safety,en,0.0727
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-knowledge-graph-system/kg/testing,en,0.0723
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/delivery,en,0.0721
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-markdown-mixed-media/pdf-pipeline,en,0.0701
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-markdown-mixed-media/testing,en,0.0680
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-graph-introspection/atlassian/graph-introspection,en,0.0670
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/ops/cost-analysis,en,0.0662
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/ops/cost-analysis,en,0.0662
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/visualization,en,0.0617
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/environment/makefile,en,0.0610
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/subagents,en,0.0597
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,ea/intelligence,en,0.0585
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-markdown-mixed-media/release,en,0.0579
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/security/secrets,en,0.0539
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/knowledge,en,0.0532
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-mcp-salesforce-cloud/release,en,0.0516
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/project-health,en,0.0507
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/supplychain/historysever,en,0.0505
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,meta/think,en,0.0492
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/environment/attend,en,0.0489
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-ets-global/atlassian/graph-discovery,en,0.0480
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-ets-global/audit/prove-then-generalize,en,0.0458
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-obsidian-mcp-plugin/delivery/release,en,0.0419
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,ea,en,0.0408
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/docs/readme,en,0.0394
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/docs/docstrings,en,0.0344
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/ops/troubleshooting,en,0.0336
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/ops/troubleshooting,en,0.0336
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/delivery/patches,en,0.0323
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/security/auth,en,0.0310
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-mcp-salesforce-cloud/mcp,en,0.0295
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,itops/runbooks,en,0.0291
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-knowledge-graph-system/kg/adr,en,0.0268
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,itops/policy,en,0.0267
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-ai-mcp-atlassian-graph/collaboration/incremental-exploration,en,0.0258
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,softwaredev/code/security,en,0.0249
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-app-github-manager/dev/api-gotchas,en,0.0226
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,-home-aaron-Projects-praecipio-platform-ops/dev/api-gotchas,en,0.0226
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,research,en,0.0221
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,itops/proposals,en,0.0217
"configure zsh prompt and aliases in .zshrc",en,workstation/shell/shellrc,ea/email/drafting,en,0.0216
